task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-haiku-4-5,search_plus,1,1,1,0,5382,414,0,0,3.462,
c02_multi_site__medium,claude-haiku-4-5,search_plus,1,1,3,0,5414,659,0,0,4.402,
c03_xfile_rename__medium,claude-haiku-4-5,search_plus,1,1,1,0,5381,530,0,0,4.252,
c04_signature_change__medium,claude-haiku-4-5,search_plus,0,1,1,0,5420,528,0,0,3.956,
c05_api_migration__medium,claude-haiku-4-5,search_plus,0,1,1,0,5483,531,0,0,4.804,
c06_extract_function__medium,claude-haiku-4-5,search_plus,0,1,1,0,5549,740,0,0,5.033,
c07_inline_function__medium,claude-haiku-4-5,search_plus,0,1,1,0,5466,511,0,0,7.390,
c08_add_feature__medium,claude-haiku-4-5,search_plus,0,1,1,0,5554,511,0,0,4.379,
c09_remove_sweep__medium,claude-haiku-4-5,search_plus,0,1,1,0,5612,464,0,0,3.944,
c10_repetitive_structure__medium,claude-haiku-4-5,search_plus,1,1,1,0,5453,489,0,0,4.167,
c11_type_changes__medium,claude-haiku-4-5,search_plus,1,1,1,0,5521,968,0,0,6.369,
c12_hygiene__medium,claude-haiku-4-5,search_plus,0,1,1,0,5504,446,0,0,3.712,
c13_test_work__medium,claude-haiku-4-5,search_plus,1,1,1,0,5535,733,0,0,4.965,
c14_config_code__medium,claude-haiku-4-5,search_plus,1,1,2,0,5543,830,0,0,6.483,
