task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-haiku-4-5,search_plus,0,1,0,0,4485,425,0,0,3.552,json parse error: Expecting value: line 1 column 1 (char 0)
c02_multi_site__medium,claude-haiku-4-5,search_plus,1,1,3,0,4517,347,0,0,2.507,
c03_xfile_rename__medium,claude-haiku-4-5,search_plus,1,1,1,0,4484,187,0,0,1.639,
c04_signature_change__medium,claude-haiku-4-5,search_plus,1,1,2,0,4523,593,0,0,4.395,
c05_api_migration__medium,claude-haiku-4-5,search_plus,1,1,4,0,4586,692,0,0,4.499,
c06_extract_function__medium,claude-haiku-4-5,search_plus,1,1,1,0,4652,819,0,0,5.156,
c07_inline_function__medium,claude-haiku-4-5,search_plus,1,1,2,0,4569,405,0,0,3.443,
c08_add_feature__medium,claude-haiku-4-5,search_plus,1,1,3,0,4657,738,0,0,4.652,
c09_remove_sweep__medium,claude-haiku-4-5,search_plus,0,1,9,0,4715,1601,0,0,7.871,
c10_repetitive_structure__medium,claude-haiku-4-5,search_plus,1,1,1,0,4556,380,0,0,5.801,
c11_type_changes__medium,claude-haiku-4-5,search_plus,1,1,5,0,4624,683,0,0,3.740,
c12_hygiene__medium,claude-haiku-4-5,search_plus,1,1,5,0,4607,1105,0,0,6.013,
c13_test_work__medium,claude-haiku-4-5,search_plus,1,1,2,0,4638,748,0,0,3.964,
c14_config_code__medium,claude-haiku-4-5,search_plus,1,1,2,0,4646,649,0,0,5.337,
