task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-opus-4-7,search_plus,1,1,1,0,6924,229,0,0,3.992,
c02_multi_site__medium,claude-opus-4-7,search_plus,1,1,3,0,6937,581,0,0,7.495,
c03_xfile_rename__medium,claude-opus-4-7,search_plus,1,1,1,0,6905,383,0,0,6.463,
c04_signature_change__medium,claude-opus-4-7,search_plus,1,1,1,0,6975,687,0,0,7.734,
c05_api_migration__medium,claude-opus-4-7,search_plus,1,1,4,0,7031,789,0,0,8.691,
c06_extract_function__medium,claude-opus-4-7,search_plus,1,1,1,0,7105,1145,0,0,11.779,
c07_inline_function__medium,claude-opus-4-7,search_plus,1,1,1,0,7007,511,0,0,7.118,
c08_add_feature__medium,claude-opus-4-7,search_plus,1,1,3,0,7094,790,0,0,8.362,
c09_remove_sweep__medium,claude-opus-4-7,search_plus,0,1,1,0,6,1622,0,7236,16.879,
c10_repetitive_structure__medium,claude-opus-4-7,search_plus,1,1,1,0,6997,456,0,0,5.917,
c11_type_changes__medium,claude-opus-4-7,search_plus,1,1,1,0,7083,860,0,0,8.650,
c12_hygiene__medium,claude-opus-4-7,search_plus,1,1,2,0,7049,1154,0,0,12.110,
c13_test_work__medium,claude-opus-4-7,search_plus,1,1,2,0,7113,917,0,0,9.855,
c14_config_code__medium,claude-opus-4-7,search_plus,1,1,2,0,7111,550,0,0,10.739,
