task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-opus-4-7,search_plus,1,1,1,0,5698,155,0,0,3.955,
c02_multi_site__medium,claude-opus-4-7,search_plus,1,1,3,0,5711,345,0,0,8.529,
c03_xfile_rename__medium,claude-opus-4-7,search_plus,1,1,1,0,5679,211,0,0,6.970,
c04_signature_change__medium,claude-opus-4-7,search_plus,1,1,2,0,5749,523,0,0,6.788,
c05_api_migration__medium,claude-opus-4-7,search_plus,1,1,4,0,5805,542,0,0,6.550,
c06_extract_function__medium,claude-opus-4-7,search_plus,1,1,1,0,5879,1083,0,0,13.035,
c07_inline_function__medium,claude-opus-4-7,search_plus,1,1,1,0,5781,414,0,0,5.831,
c08_add_feature__medium,claude-opus-4-7,search_plus,1,1,3,0,5868,814,0,0,8.303,
c09_remove_sweep__medium,claude-opus-4-7,search_plus,1,1,3,0,6,2407,0,6010,21.878,
c10_repetitive_structure__medium,claude-opus-4-7,search_plus,1,1,1,0,5771,262,0,0,5.016,
c11_type_changes__medium,claude-opus-4-7,search_plus,1,1,1,0,5857,793,0,0,8.740,
c12_hygiene__medium,claude-opus-4-7,search_plus,1,1,2,0,5823,1161,0,0,16.124,
c13_test_work__medium,claude-opus-4-7,search_plus,1,1,2,0,5887,862,0,0,10.744,
c14_config_code__medium,claude-opus-4-7,search_plus,1,1,2,0,5885,464,0,0,6.000,
