task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__small,claude-haiku-4-5,search_replace,1,1,1,0,1421,178,0,0,1.605,
c01_localized_bug__small,claude-haiku-4-5,unified_diff,1,1,1,0,1285,225,0,0,2.019,
c01_localized_bug__small,claude-haiku-4-5,semantic,1,1,1,0,2395,160,0,0,1.792,
c02_multi_site__small,claude-haiku-4-5,search_replace,1,1,3,0,1842,466,0,0,2.709,
c02_multi_site__small,claude-haiku-4-5,unified_diff,0,1,1,1,1706,379,0,0,3.003,
c02_multi_site__small,claude-haiku-4-5,semantic,1,1,3,0,2816,377,0,0,2.437,
c03_xfile_rename__small,claude-haiku-4-5,search_replace,0,1,1,0,1351,144,0,0,1.147,
c03_xfile_rename__small,claude-haiku-4-5,unified_diff,0,1,1,0,1215,207,0,0,1.951,
c03_xfile_rename__small,claude-haiku-4-5,semantic,1,1,1,0,2325,225,0,0,2.594,
c04_signature_change__small,claude-haiku-4-5,search_replace,0,1,1,0,1535,307,0,0,2.372,
c04_signature_change__small,claude-haiku-4-5,unified_diff,0,1,1,1,1399,287,0,0,2.517,
c04_signature_change__small,claude-haiku-4-5,semantic,0,1,1,0,2509,186,0,0,1.683,
c05_api_migration__small,claude-haiku-4-5,search_replace,0,1,1,0,1657,166,0,0,1.324,
c05_api_migration__small,claude-haiku-4-5,unified_diff,0,1,1,0,1521,406,0,0,2.396,
c05_api_migration__small,claude-haiku-4-5,semantic,0,1,10,2,2631,972,0,0,4.645,
c06_extract_function__small,claude-haiku-4-5,search_replace,0,1,1,0,1765,348,0,0,2.437,
c06_extract_function__small,claude-haiku-4-5,unified_diff,0,1,1,1,1629,578,0,0,3.415,
c06_extract_function__small,claude-haiku-4-5,semantic,0,1,1,1,2739,239,0,0,1.995,
c07_inline_function__small,claude-haiku-4-5,search_replace,0,1,1,0,1520,279,0,0,5.771,
c07_inline_function__small,claude-haiku-4-5,unified_diff,0,1,1,1,1384,512,0,0,3.000,
c07_inline_function__small,claude-haiku-4-5,semantic,1,1,5,0,2494,615,0,0,3.536,
c08_add_feature__small,claude-haiku-4-5,search_replace,1,1,1,0,1471,379,0,0,2.389,
c08_add_feature__small,claude-haiku-4-5,unified_diff,0,1,1,0,1335,490,0,0,3.131,
c08_add_feature__small,claude-haiku-4-5,semantic,0,1,1,1,2445,334,0,0,2.357,
c09_remove_sweep__small,claude-haiku-4-5,search_replace,0,1,1,0,1478,153,0,0,1.180,
c09_remove_sweep__small,claude-haiku-4-5,unified_diff,0,1,2,1,1342,350,0,0,2.171,
c09_remove_sweep__small,claude-haiku-4-5,semantic,0,1,3,1,2452,321,0,0,2.528,
c10_repetitive_structure__small,claude-haiku-4-5,search_replace,1,1,1,0,1580,200,0,0,1.799,
c10_repetitive_structure__small,claude-haiku-4-5,unified_diff,1,1,1,0,1444,170,0,0,1.986,
c10_repetitive_structure__small,claude-haiku-4-5,semantic,1,1,1,0,2554,154,0,0,1.597,
c11_type_changes__small,claude-haiku-4-5,search_replace,0,1,1,0,1322,144,0,0,1.290,
c11_type_changes__small,claude-haiku-4-5,unified_diff,0,1,1,1,1186,340,0,0,2.003,
c11_type_changes__small,claude-haiku-4-5,semantic,1,1,5,0,2296,550,0,0,3.129,
c12_hygiene__small,claude-haiku-4-5,search_replace,1,1,1,0,1640,439,0,0,2.519,
c12_hygiene__small,claude-haiku-4-5,unified_diff,0,1,1,1,1504,505,0,0,3.010,
c12_hygiene__small,claude-haiku-4-5,semantic,0,1,5,1,2614,617,0,0,8.389,
c13_test_work__small,claude-haiku-4-5,search_replace,1,1,1,0,1385,205,0,0,1.731,
c13_test_work__small,claude-haiku-4-5,unified_diff,1,1,1,0,1249,230,0,0,3.929,
c13_test_work__small,claude-haiku-4-5,semantic,1,1,3,0,2359,258,0,0,1.740,
c14_config_code__small,claude-haiku-4-5,search_replace,1,1,6,0,1758,964,0,0,5.225,
c14_config_code__small,claude-haiku-4-5,unified_diff,0,1,2,1,1622,622,0,0,4.341,
c14_config_code__small,claude-haiku-4-5,semantic,0,1,1,0,2732,139,0,0,1.474,
