task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__small,claude-haiku-4-5,search_replace,1,1,1,0,1421,178,0,0,1.721,
c01_localized_bug__small,claude-haiku-4-5,unified_diff,0,1,1,1,1285,225,0,0,1.730,
c01_localized_bug__small,claude-haiku-4-5,semantic,1,1,1,0,2395,160,0,0,1.493,
c02_multi_site__small,claude-haiku-4-5,search_replace,1,1,3,0,1842,466,0,0,2.667,
c02_multi_site__small,claude-haiku-4-5,unified_diff,0,1,1,1,1706,381,0,0,2.586,
c02_multi_site__small,claude-haiku-4-5,semantic,1,1,3,0,2816,377,0,0,2.963,
c03_xfile_rename__small,claude-haiku-4-5,search_replace,1,1,5,0,1351,588,0,0,2.815,
c03_xfile_rename__small,claude-haiku-4-5,unified_diff,0,1,1,0,1215,207,0,0,2.100,
c03_xfile_rename__small,claude-haiku-4-5,semantic,1,1,1,0,2325,225,0,0,2.256,
c04_signature_change__small,claude-haiku-4-5,search_replace,0,1,1,0,1535,307,0,0,2.011,
c04_signature_change__small,claude-haiku-4-5,unified_diff,0,1,1,1,1399,287,0,0,2.574,
c04_signature_change__small,claude-haiku-4-5,semantic,0,1,1,0,2509,186,0,0,1.522,
c05_api_migration__small,claude-haiku-4-5,search_replace,0,1,1,0,1657,166,0,0,1.537,
c05_api_migration__small,claude-haiku-4-5,unified_diff,0,1,1,0,1521,406,0,0,2.434,
c05_api_migration__small,claude-haiku-4-5,semantic,0,1,10,2,2631,972,0,0,5.347,
c06_extract_function__small,claude-haiku-4-5,search_replace,0,1,1,0,1765,437,0,0,2.373,
c06_extract_function__small,claude-haiku-4-5,unified_diff,0,1,1,1,1629,541,0,0,3.641,
c06_extract_function__small,claude-haiku-4-5,semantic,0,1,1,1,2739,228,0,0,1.811,
c07_inline_function__small,claude-haiku-4-5,search_replace,0,1,1,0,1520,294,0,0,2.069,
c07_inline_function__small,claude-haiku-4-5,unified_diff,0,1,1,1,1384,453,0,0,3.164,
c07_inline_function__small,claude-haiku-4-5,semantic,1,1,5,0,2494,616,0,0,3.236,
c08_add_feature__small,claude-haiku-4-5,search_replace,1,1,1,0,1471,370,0,0,2.907,
c08_add_feature__small,claude-haiku-4-5,unified_diff,0,1,1,1,1335,490,0,0,3.115,
c08_add_feature__small,claude-haiku-4-5,semantic,0,1,1,1,2445,334,0,0,3.095,
c09_remove_sweep__small,claude-haiku-4-5,search_replace,0,1,1,0,1478,153,0,0,1.376,
c09_remove_sweep__small,claude-haiku-4-5,unified_diff,0,1,2,1,1342,350,0,0,2.393,
c09_remove_sweep__small,claude-haiku-4-5,semantic,0,1,4,1,2452,424,0,0,2.835,
c10_repetitive_structure__small,claude-haiku-4-5,search_replace,1,1,1,0,1580,208,0,0,1.774,
c10_repetitive_structure__small,claude-haiku-4-5,unified_diff,0,1,1,1,1444,170,0,0,1.695,
c10_repetitive_structure__small,claude-haiku-4-5,semantic,1,1,1,0,2554,154,0,0,7.054,
c11_type_changes__small,claude-haiku-4-5,search_replace,0,1,1,0,1322,144,0,0,1.331,
c11_type_changes__small,claude-haiku-4-5,unified_diff,0,1,1,1,1186,340,0,0,2.600,
c11_type_changes__small,claude-haiku-4-5,semantic,1,1,5,0,2296,550,0,0,3.027,
c12_hygiene__small,claude-haiku-4-5,search_replace,1,1,1,0,1640,439,0,0,2.592,
c12_hygiene__small,claude-haiku-4-5,unified_diff,0,1,1,1,1504,509,0,0,2.919,
c12_hygiene__small,claude-haiku-4-5,semantic,0,1,3,0,2614,469,0,0,2.597,
c13_test_work__small,claude-haiku-4-5,search_replace,1,1,1,0,1385,205,0,0,1.921,
c13_test_work__small,claude-haiku-4-5,unified_diff,0,1,1,1,1249,230,0,0,1.565,
c13_test_work__small,claude-haiku-4-5,semantic,1,1,3,0,2359,258,0,0,3.550,
c14_config_code__small,claude-haiku-4-5,search_replace,1,1,6,0,1758,966,0,0,4.546,
c14_config_code__small,claude-haiku-4-5,unified_diff,0,1,2,1,1622,620,0,0,4.278,
c14_config_code__small,claude-haiku-4-5,semantic,0,1,2,1,2732,456,0,0,3.117,
