task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4661,119,0,0,2.987,
c01_localized_bug__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4529,183,0,0,4.109,
c01_localized_bug__medium,claude-sonnet-4-6,semantic,1,1,1,0,4011,155,1616,0,2.771,
c02_multi_site__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4693,131,0,0,2.696,
c02_multi_site__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4561,428,0,0,7.521,
c02_multi_site__medium,claude-sonnet-4-6,semantic,1,1,3,0,4043,561,1616,0,6.801,
c03_xfile_rename__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4660,441,0,0,7.280,
c03_xfile_rename__medium,claude-sonnet-4-6,unified_diff,0,1,1,0,4528,338,0,0,4.968,
c03_xfile_rename__medium,claude-sonnet-4-6,semantic,1,1,1,0,4010,214,1616,0,4.341,
c04_signature_change__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4699,448,0,0,5.246,
c04_signature_change__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4567,394,0,0,5.374,
c04_signature_change__medium,claude-sonnet-4-6,semantic,0,1,1,0,4049,293,1616,0,5.395,
c05_api_migration__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4762,136,0,0,2.755,
c05_api_migration__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4630,493,0,0,6.828,
c05_api_migration__medium,claude-sonnet-4-6,semantic,0,1,1,0,4112,136,1616,0,3.185,
c06_extract_function__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4828,867,0,0,10.411,
c06_extract_function__medium,claude-sonnet-4-6,unified_diff,0,1,1,0,4696,739,0,0,9.255,
c06_extract_function__medium,claude-sonnet-4-6,semantic,0,1,1,0,4178,238,1616,0,4.863,
c07_inline_function__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4745,305,0,0,4.662,
c07_inline_function__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4613,272,0,0,4.229,
c07_inline_function__medium,claude-sonnet-4-6,semantic,1,1,2,0,4095,262,1616,0,4.195,
c08_add_feature__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4833,267,0,0,4.897,
c08_add_feature__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4701,236,0,0,3.614,
c08_add_feature__medium,claude-sonnet-4-6,semantic,0,1,2,1,4183,395,1616,0,6.533,
c09_remove_sweep__medium,claude-sonnet-4-6,search_replace,0,1,1,0,4891,1199,0,0,13.341,
c09_remove_sweep__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4759,865,0,0,11.887,
c09_remove_sweep__medium,claude-sonnet-4-6,semantic,0,1,2,0,4241,362,1616,0,7.219,
c10_repetitive_structure__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4732,317,0,0,4.611,
c10_repetitive_structure__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4600,214,0,0,3.592,
c10_repetitive_structure__medium,claude-sonnet-4-6,semantic,1,1,1,0,4082,219,1616,0,3.884,
c11_type_changes__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4800,587,0,0,7.355,
c11_type_changes__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4668,523,0,0,6.247,
c11_type_changes__medium,claude-sonnet-4-6,semantic,0,1,1,0,4150,314,1616,0,4.184,
c12_hygiene__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4783,832,0,0,9.403,
c12_hygiene__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4651,650,0,0,7.715,
c12_hygiene__medium,claude-sonnet-4-6,semantic,0,1,1,0,4133,167,1616,0,3.750,
c13_test_work__medium,claude-sonnet-4-6,search_replace,1,1,1,0,4814,464,0,0,6.062,
c13_test_work__medium,claude-sonnet-4-6,unified_diff,0,1,1,1,4682,528,0,0,7.631,
c13_test_work__medium,claude-sonnet-4-6,semantic,1,1,1,0,4164,312,1616,0,5.181,
c14_config_code__medium,claude-sonnet-4-6,search_replace,1,1,2,0,4822,364,0,0,5.258,
c14_config_code__medium,claude-sonnet-4-6,unified_diff,0,1,1,0,4690,159,0,0,3.293,
c14_config_code__medium,claude-sonnet-4-6,semantic,0,1,1,0,4172,193,1616,0,4.538,
