task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__small,claude-sonnet-4-6,search_replace,1,1,1,0,1418,110,0,0,9.415,
c01_localized_bug__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1286,137,0,0,2.351,
c01_localized_bug__small,claude-sonnet-4-6,semantic,1,1,1,0,768,140,0,1616,3.245,
c02_multi_site__small,claude-sonnet-4-6,search_replace,1,1,3,0,1839,393,0,0,5.580,
c02_multi_site__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1707,264,0,0,3.954,
c02_multi_site__small,claude-sonnet-4-6,semantic,1,1,3,0,1189,382,1616,0,5.281,
c03_xfile_rename__small,claude-sonnet-4-6,search_replace,1,1,3,0,1348,424,0,0,5.155,
c03_xfile_rename__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1216,265,0,0,6.942,
c03_xfile_rename__small,claude-sonnet-4-6,semantic,1,1,1,0,698,161,1616,0,3.836,
c04_signature_change__small,claude-sonnet-4-6,search_replace,1,1,2,0,1532,307,0,0,3.955,
c04_signature_change__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1400,187,0,0,2.907,
c04_signature_change__small,claude-sonnet-4-6,semantic,1,1,2,0,882,334,1616,0,6.826,
c05_api_migration__small,claude-sonnet-4-6,search_replace,0,1,1,0,1654,401,0,0,4.555,
c05_api_migration__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1522,355,0,0,4.540,
c05_api_migration__small,claude-sonnet-4-6,semantic,0,1,2,0,1004,208,1616,0,4.746,
c06_extract_function__small,claude-sonnet-4-6,search_replace,1,1,1,0,1762,492,0,0,5.011,
c06_extract_function__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1630,410,0,0,4.886,
c06_extract_function__small,claude-sonnet-4-6,semantic,0,1,1,0,1112,184,1616,0,3.508,
c07_inline_function__small,claude-sonnet-4-6,search_replace,1,1,1,0,1517,309,0,0,4.459,
c07_inline_function__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1385,356,0,0,4.749,
c07_inline_function__small,claude-sonnet-4-6,semantic,0,1,4,0,867,418,1616,0,5.093,
c08_add_feature__small,claude-sonnet-4-6,search_replace,1,1,1,0,1468,240,0,0,3.711,
c08_add_feature__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1336,225,0,0,3.525,
c08_add_feature__small,claude-sonnet-4-6,semantic,1,1,1,0,818,227,1616,0,3.748,
c09_remove_sweep__small,claude-sonnet-4-6,search_replace,1,1,2,0,1475,248,0,0,3.972,
c09_remove_sweep__small,claude-sonnet-4-6,unified_diff,0,1,1,0,1343,124,0,0,2.304,
c09_remove_sweep__small,claude-sonnet-4-6,semantic,0,1,2,0,825,231,1616,0,3.605,
c10_repetitive_structure__small,claude-sonnet-4-6,search_replace,1,1,1,0,1577,154,0,0,2.460,
c10_repetitive_structure__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1445,127,0,0,2.773,
c10_repetitive_structure__small,claude-sonnet-4-6,semantic,1,1,1,0,927,122,1616,0,2.536,
c11_type_changes__small,claude-sonnet-4-6,search_replace,1,1,1,0,1319,364,0,0,4.161,
c11_type_changes__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1187,308,0,0,4.050,
c11_type_changes__small,claude-sonnet-4-6,semantic,0,1,1,0,669,126,1616,0,6.277,
c12_hygiene__small,claude-sonnet-4-6,search_replace,1,1,1,0,1637,406,0,0,4.996,
c12_hygiene__small,claude-sonnet-4-6,unified_diff,0,1,1,1,1505,401,0,0,4.782,
c12_hygiene__small,claude-sonnet-4-6,semantic,0,1,1,0,987,152,1616,0,3.109,
c13_test_work__small,claude-sonnet-4-6,search_replace,1,1,1,0,1382,211,0,0,3.206,
c13_test_work__small,claude-sonnet-4-6,unified_diff,1,1,1,0,1250,213,0,0,2.780,
c13_test_work__small,claude-sonnet-4-6,semantic,1,1,1,0,732,167,1616,0,2.921,
c14_config_code__small,claude-sonnet-4-6,search_replace,1,1,2,0,1755,698,0,0,8.434,
c14_config_code__small,claude-sonnet-4-6,unified_diff,0,1,1,0,3,124,0,1620,2.442,
c14_config_code__small,claude-sonnet-4-6,semantic,0,1,2,0,1105,241,1616,0,4.011,
