task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
c01_localized_bug__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4486,146,0,0,3.068,
c02_multi_site__medium,claude-sonnet-4-6,search_plus,1,1,3,0,4518,330,0,0,4.989,
c03_xfile_rename__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4485,196,0,0,4.855,
c04_signature_change__medium,claude-sonnet-4-6,search_plus,1,1,2,0,4524,489,0,0,6.732,
c05_api_migration__medium,claude-sonnet-4-6,search_plus,1,1,4,0,4587,456,0,0,5.575,
c06_extract_function__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4653,783,0,0,9.458,
c07_inline_function__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4570,316,0,0,4.667,
c08_add_feature__medium,claude-sonnet-4-6,search_plus,1,1,3,0,4658,628,0,0,8.295,
c09_remove_sweep__medium,claude-sonnet-4-6,search_plus,1,1,2,0,4716,2458,0,0,22.919,
c10_repetitive_structure__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4557,352,0,0,5.488,
c11_type_changes__medium,claude-sonnet-4-6,search_plus,1,1,1,0,4625,673,0,0,8.686,
c12_hygiene__medium,claude-sonnet-4-6,search_plus,1,1,5,0,4608,986,0,0,11.509,
c13_test_work__medium,claude-sonnet-4-6,search_plus,1,1,2,0,4639,745,0,0,8.368,
c14_config_code__medium,claude-sonnet-4-6,search_plus,1,1,2,0,4647,406,0,0,5.723,
