task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
add-parameter-001,claude-haiku-4-5,search_replace,1,4,9,0,8603,904,0,0,7.045,
add-parameter-001,claude-haiku-4-5,unified_diff,1,5,10,1,10620,1086,0,0,10.082,
add-parameter-001,claude-haiku-4-5,ast_python,1,4,9,0,9434,839,0,0,7.832,
add-parameter-001,claude-haiku-4-5,semantic_ops,1,5,9,0,13276,913,0,0,9.979,
add-parameter-001,gpt-5-mini,search_replace,1,9,9,0,10439,813,0,0,19.324,
add-parameter-001,gpt-5-mini,ast_python,1,9,9,0,11568,621,0,0,19.239,
add-parameter-001,gpt-5-mini,semantic_ops,1,10,10,0,14591,1378,0,0,27.901,
bug-fix-comparison-001,claude-haiku-4-5,search_replace,1,4,4,0,6273,408,0,0,4.300,
bug-fix-comparison-001,claude-haiku-4-5,unified_diff,1,3,3,0,4079,375,0,0,4.047,
bug-fix-comparison-001,claude-haiku-4-5,ast_python,1,3,3,0,5184,350,0,0,3.765,
bug-fix-comparison-001,claude-haiku-4-5,semantic_ops,1,3,3,0,6042,382,0,0,4.750,
bug-fix-comparison-001,gpt-5-mini,search_replace,1,4,4,0,3126,399,0,0,12.336,
bug-fix-comparison-001,gpt-5-mini,unified_diff,0,3,3,0,2091,130,0,0,5.724,
bug-fix-comparison-001,gpt-5-mini,ast_python,1,3,3,0,2662,109,0,0,6.051,
bug-fix-comparison-001,gpt-5-mini,semantic_ops,1,4,4,0,4220,193,0,0,7.555,
move-function-001,claude-haiku-4-5,search_replace,1,4,9,0,7683,923,0,0,7.855,
move-function-001,gpt-5-mini,search_replace,1,9,9,0,8583,826,0,0,28.343,
move-function-001,gpt-5-mini,semantic_ops,1,20,19,2,31528,14570,0,0,213.653,
rename-helper-001,claude-haiku-4-5,search_replace,1,4,9,0,7914,881,0,0,8.834,
rename-helper-001,claude-haiku-4-5,unified_diff,1,5,9,2,9623,1023,0,0,8.737,
rename-helper-001,claude-haiku-4-5,semantic_ops,1,4,6,0,9088,622,0,0,6.801,
rename-helper-001,gpt-5-mini,search_replace,1,14,14,1,16711,1720,0,0,46.330,
rename-helper-001,gpt-5-mini,semantic_ops,1,4,4,0,4207,177,0,0,7.549,
repetitive-structure-001,claude-haiku-4-5,search_replace,1,4,4,0,10966,541,0,0,6.189,
repetitive-structure-001,claude-haiku-4-5,unified_diff,1,6,6,2,16731,789,0,0,8.298,
repetitive-structure-001,claude-haiku-4-5,ast_python,1,3,3,0,7896,365,0,0,9.624,
repetitive-structure-001,claude-haiku-4-5,semantic_ops,1,4,4,0,12925,479,0,0,6.941,
repetitive-structure-001,gpt-5-mini,search_replace,1,4,4,0,7586,305,0,0,10.663,
repetitive-structure-001,gpt-5-mini,unified_diff,0,10,9,0,31133,1270,0,0,34.662,
repetitive-structure-001,gpt-5-mini,ast_python,1,2,2,0,2483,171,0,0,4.964,
repetitive-structure-001,gpt-5-mini,semantic_ops,1,4,4,0,8644,276,0,0,8.753,
