task_id,model,edit_format,passed,turns,tool_calls,invalid_tool_calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_seconds,error
add-parameter-001,claude-haiku-4-5,search_replace,1,4,9,0,8603,907,0,0,6.817,
add-parameter-001,claude-haiku-4-5,unified_diff,1,7,12,2,16343,1338,0,0,21.645,
add-parameter-001,claude-haiku-4-5,ast_python,1,4,9,0,9436,840,0,0,7.113,
add-parameter-001,claude-haiku-4-5,semantic_ops,1,5,9,0,13276,913,0,0,9.007,
add-parameter-001,gpt-5-mini,search_replace,1,9,9,0,10423,676,0,0,16.504,
add-parameter-001,gpt-5-mini,unified_diff,0,20,20,0,37523,2863,0,0,55.647,
add-parameter-001,gpt-5-mini,ast_python,1,9,9,0,11568,620,0,0,15.719,
add-parameter-001,gpt-5-mini,semantic_ops,1,9,9,0,12760,1356,0,0,20.745,
bug-fix-comparison-001,claude-haiku-4-5,search_replace,1,3,3,0,4514,412,0,0,3.930,
bug-fix-comparison-001,claude-haiku-4-5,unified_diff,1,3,3,0,4079,375,0,0,6.191,
bug-fix-comparison-001,claude-haiku-4-5,ast_python,1,3,3,0,5184,350,0,0,4.004,
bug-fix-comparison-001,claude-haiku-4-5,semantic_ops,1,3,3,0,6042,382,0,0,4.702,
bug-fix-comparison-001,gpt-5-mini,search_replace,1,4,4,0,3122,204,0,0,7.666,
bug-fix-comparison-001,gpt-5-mini,unified_diff,0,20,20,0,30497,2361,0,0,60.107,
bug-fix-comparison-001,gpt-5-mini,ast_python,1,3,3,0,2662,109,0,0,4.558,
bug-fix-comparison-001,gpt-5-mini,semantic_ops,1,4,4,0,4220,260,0,0,6.702,
move-function-001,claude-haiku-4-5,search_replace,1,4,9,0,7693,928,0,0,7.623,
move-function-001,claude-haiku-4-5,unified_diff,1,11,18,2,27379,1668,0,0,17.718,
move-function-001,claude-haiku-4-5,ast_python,0,20,27,2,50316,6219,41405,10696,67.368,
move-function-001,claude-haiku-4-5,semantic_ops,1,20,33,4,44576,6569,55036,10934,69.508,
move-function-001,gpt-5-mini,search_replace,1,9,9,0,8443,1053,0,0,20.308,
move-function-001,gpt-5-mini,unified_diff,0,20,20,1,27601,2329,0,0,54.525,
move-function-001,gpt-5-mini,ast_python,0,20,20,3,35240,16307,0,0,152.403,
move-function-001,gpt-5-mini,semantic_ops,1,17,17,3,25737,6853,0,0,75.705,
rename-helper-001,claude-haiku-4-5,search_replace,1,4,9,0,7914,881,0,0,6.510,
rename-helper-001,claude-haiku-4-5,unified_diff,1,5,9,2,9623,1023,0,0,8.948,
rename-helper-001,claude-haiku-4-5,ast_python,0,20,27,2,54528,5855,10094,9982,58.618,
rename-helper-001,claude-haiku-4-5,semantic_ops,1,4,6,0,9088,622,0,0,6.563,
rename-helper-001,gpt-5-mini,search_replace,1,14,14,0,16726,1110,0,0,43.477,
rename-helper-001,gpt-5-mini,unified_diff,0,20,20,0,32510,3462,0,0,56.391,
rename-helper-001,gpt-5-mini,ast_python,0,20,20,2,31177,23838,0,0,225.828,
rename-helper-001,gpt-5-mini,semantic_ops,1,6,6,0,6912,219,0,0,13.812,
repetitive-structure-001,claude-haiku-4-5,search_replace,1,4,4,0,10966,541,0,0,9.058,
repetitive-structure-001,claude-haiku-4-5,unified_diff,1,6,6,2,16731,789,0,0,8.756,
repetitive-structure-001,claude-haiku-4-5,ast_python,1,3,3,0,7923,377,0,0,3.796,
repetitive-structure-001,claude-haiku-4-5,semantic_ops,1,4,4,0,12925,479,0,0,6.326,
repetitive-structure-001,gpt-5-mini,search_replace,1,4,4,0,7586,241,0,0,7.740,
repetitive-structure-001,gpt-5-mini,unified_diff,1,5,5,1,9716,657,0,0,27.644,
repetitive-structure-001,gpt-5-mini,ast_python,1,4,4,0,8148,275,0,0,7.225,
repetitive-structure-001,gpt-5-mini,semantic_ops,1,4,4,0,8644,341,0,0,6.952,
